PRODUTO_ID,IDIOMA,NOME
1,PT,Rastreador de atividades
2,PT,Teclado sem fio
3,PT,Fones de ouvido sem fio com controle de toque
4,PT,Fones de ouvido com cancelamento de ruído
5,PT,Alto-falante portátil
6,PT,Umidificador
7,PT,Despertador
8,PT,Sacos de armazenamento a vácuo
9,PT,Cabides de armário
10,PT,Cesto de lavanderia
11,PT,Porta-copos
12,PT,Tigelas únicas
13,PT,Escala digital
14,PT,Protetores de fogão
15,PT,Máquina de liquidificador portátil
16,PT,brinquedos movidos a energia solar
17,PT,Luzes de corda de LED ao ar livre
18,PT,garrafa de água ecologicamente correta
19,PT,Saco de compras reutilizável
20,PT,Envoltório de algodão de cera de abelha
21,PT,capa de iphone
22,PT,Xícara de café
23,PT,Caso chave
24,PT,Aquecedor de mãos
25,PT,Porta-óculos
26,PT,Estojo de papelaria
27,PT,Lâmpada de mesa
28,PT,Suporte para computador
29,PT,Almofada de cintura
30,PT,Bloco de anotações
31,PT,elástico de resistência
32,PT,Barra de treino ajustável
33,PT,Tapete de yoga
34,PT,Puxar corda
35,PT,conjunto de fitness em casa
36,PT,Brinquedos artesanais
37,PT,brinquedos magnéticos
38,PT,brinquedos matemáticos
39,PT,Brinquedos de quebra-cabeça
40,PT,Brinquedos de bloco
41,PT,colar de LED
42,PT,Cama para animais de estimação
43,PT,brinquedo de gato
44,PT,Fonte de água
45,PT,Esteira à prova d'água
46,PT,Hoodies e camisolas
47,PT,Calção
48,PT,Trajes masculinos e femininos
49,PT,chinelos para casa
50,PT,Óculos de computador
1,EN,Activity tracker
2,EN,Wireless keyboard
3,EN,Touch control wireless headphones
4,EN,Noise cancelling headphones
5,EN,Portable speaker
6,EN,Humidifier
7,EN,Alarm clock
8,EN,Vacuum storage bags
9,EN,Cupboard hangers
10,EN,Laundry basket
11,EN,Cup coasters
12,EN,Unique bowls
13,EN,Digital scale
14,EN,Stove protectors
15,EN,Portable blender machine
16,EN,Solar powered toys
17,EN,Outdoor LED string lights
18,EN,Eco-friendly water bottle
19,EN,Reusable shopping bag
20,EN,Beeswax cotton wrap
21,EN,iPhone case
22,EN,Coffee cup
23,EN,Key case
24,EN,Hand warmer
25,EN,Glasses case
26,EN,Stationery case
27,EN,Desk lamp
28,EN,Computer stand
29,EN,Waist cushion
30,EN,Notepad
31,EN,Resistance rubber band
32,EN,Adjustable workout bar
33,EN,Yoga mat
34,EN,Pull rope
35,EN,Home fitness set
36,EN,Craft toys
37,EN,Magnetic toys
38,EN,Math toys
39,EN,Puzzle toys
40,EN,Block toys
41,EN,LED collar
42,EN,Pet bed
43,EN,Cat toy
44,EN,Water fountain
45,EN,Waterproof mat
46,EN,Hoodies and sweatshirts
47,EN,Shorts
48,EN,Men and women’s robes
49,EN,Home slippers
50,EN,Computer glasses
